rank,sector,group,ticker_a,ticker_b,latest_corr,min_corr,std_corr,passed_stage_a,pvalue_ab,pvalue_ba,cointegrated,hedge_ratio,n_crossings,passed_stage_b
126,Financial Services,Asset Management (2),APO,OWL,0.6839916917319051,0.6675302030439642,0.009313321760733,True,0.7191796613549457,0.0196390215666747,False,3.1655245440480773,17.0,False
127,Financial Services,Insurance - Property & Casualty (1),CB,CINF,0.710285376562561,0.6934273779947426,0.0163873318159325,True,0.1624946878144783,0.4962916550260691,False,1.1833527533174124,17.0,False
128,Financial Services,Insurance - Property & Casualty (1),L,CNA,0.7926946330187068,0.7758312656140913,0.0075705845706387,True,0.0129621161837764,0.3285160791632408,False,1.045025660409808,17.0,False
129,Financial Services,Financial Data & Stock Exchanges,SPGI,MCO,0.7806391975717812,0.7445239092540674,0.0226062113935716,True,0.5114427608419903,0.817103237514768,False,0.8732385002422389,17.0,False
130,Financial Services,Financial Data & Stock Exchanges,SPGI,MSCI,0.7021471614158309,0.6749789905310641,0.0127414826919766,True,0.0060296817876139,0.3652590030105329,False,0.3340253322522388,17.0,False
131,Technology,Semiconductors (3),TXN,ADI,0.8271352842267622,0.813082881565321,0.0125892707084863,True,0.5237703996125492,0.3647275739282664,False,1.0403340421077454,16.0,False
132,Technology,Semiconductor Equipment & Materials (1),CAMT,ICHR,0.6854442851037771,0.6827098994513999,0.0194176673681986,True,0.5224789070935917,0.9463605032405504,False,0.2227848358995113,16.0,False
133,Technology,Information Technology Services (1),CTSH,EPAM,0.7756553231564521,0.7588197538892317,0.0075837360770625,True,0.2241202680469027,0.1812853382238453,False,0.3033123215099029,16.0,False
134,Technology,Software - Application (7),PCTY,QTWO,0.7695156183783268,0.7356944057836141,0.0132690933062003,True,0.1205892883597181,0.3609285412942588,False,1.5257769883217474,16.0,False
135,Consumer Cyclical,Lodging,WH,CHH,0.7034431106196386,0.7034431106196386,0.0129844820669019,True,0.2835059705744133,0.1940721172934554,False,0.4752676848130496,16.0,False
136,Consumer Cyclical,Residential Construction,DHI,SKY,0.6967583992235244,0.6851643980872472,0.0048337847320776,True,0.1719823674383593,0.249753059282681,False,0.938953017334979,16.0,False
137,Consumer Cyclical,Packaging & Containers,AMCR,GEF,0.6866285938351061,0.666943197745469,0.0105040022490591,True,0.6366389873171674,0.7331412011962566,False,0.7465373528935737,16.0,False
138,Consumer Defensive,Discount Stores,WMT,COST,0.712092628651534,0.7051215552501582,0.0064879834027013,True,0.2194265937360417,0.1761496954400115,False,0.1626714849091012,16.0,False
139,Financial Services,Asset Management (2),BX,APO,0.7316234744244493,0.6996467314603769,0.0201734206630581,True,0.2333910487252097,0.6876882179801893,False,0.6200259020912923,16.0,False
140,Financial Services,Asset Management (3),ARCC,FSK,0.7252858129220673,0.7252858129220673,0.0119314337876055,True,0.0099531316357198,0.0971690491848955,False,0.4539926017271978,16.0,False
141,Technology,Semiconductors (2),MCHP,ON,0.7222239419854318,0.7025840686900195,0.009253590834921,True,0.2868913452868384,0.3025827225516169,False,0.468274763867223,15.0,False
142,Technology,Semiconductor Equipment & Materials (1),AMAT,KLAC,0.8851226875970627,0.8690456538572364,0.0084127737785094,True,0.5899261298990621,0.5494454928066103,False,2.59866042009769,15.0,False
143,Technology,Semiconductor Equipment & Materials (1),NVMI,ONTO,0.8044461579853781,0.7868128578986016,0.0111294052347088,True,0.6042562344753145,0.736403122388542,False,0.6412614897910198,15.0,False
144,Technology,Semiconductor Equipment & Materials (1),NVMI,CAMT,0.7896143373342567,0.786496183713792,0.0135044303758496,True,0.2145808410428827,0.1449146841650497,False,1.8070661093575149,15.0,False
145,Technology,Information Technology Services (1),ACN,CTSH,0.8274749730426308,0.8190984185751395,0.0050215379871134,True,0.0418316483254319,0.0599264896256846,False,3.1608723040815496,15.0,False
146,Technology,Information Technology Services (1),IT,GLOB,0.7224666555788132,0.7133779384189347,0.009296303904264,True,0.0382703800262445,0.5413285821828968,False,1.6914818488657244,15.0,False
147,Technology,Computer Hardware,QBTS,RGTI,0.9442371922050344,0.9442371922050344,0.0009221148323328,True,0.3887745786934167,0.1670918588304202,False,1.2031041635400466,15.0,False
148,Technology,Software - Application (7),ADP,PCTY,0.7856325143053187,0.7181528073698766,0.0247513148173038,True,0.869206469019596,0.1753825764337806,False,1.3533450040255723,15.0,False
149,Consumer Cyclical,Auto Parts (3),ALV,LEA,0.7126394549159888,0.7126394549159888,0.0139617065123766,True,0.2546708101175891,0.3636230457230788,False,0.6270971721773638,15.0,False
150,Consumer Cyclical,Residential Construction,MTH,MHO,0.7647962359113303,0.6852121906367378,0.0293535952306751,True,0.3030342862958027,0.4223658531139923,False,0.5545306655828676,15.0,False
151,Consumer Cyclical,Resorts & Casinos,HGV,VAC,0.6699961716466095,0.6644715504277083,0.0076821761160814,True,0.4841866735497132,0.8178726236138687,False,0.1758415646771012,15.0,False
